,原句,第一个词,第二个词,tag,第一个词位置,第二个词位置
1419,警铃 响 了 ， 嫌疑犯 离开 了 房子 ， 他 走 到 前门 。,嫌疑犯,房子,8,4,7
1420,胰岛素 是 一种 简单 的 蛋白质 ， 通常 由 胰腺 产生 。,蛋白质,胰腺,16,5,9
1421,现在 海啸 后 的 恢复 和 重建 正在进行 ， 我们 希望 看到 人们 搬进 新 家 ， 社区 恢复 生计 ， 孩子们 回到 重建 的 学校,重建,海啸,18,6,1
1422,法式吐司 很可口 ， 芒果 蔓越莓 糖浆 味道 很好 。,蔓越莓,糖浆,9,4,5
1423,它 以前 被 称为 “ 公园 ” ， 可能 是 通过 威廉 Do 与 教区 的 早期 联系 ， 起源于 《 1200宪章 》 中 ， 授予 威廉 的 贿赂 ， 即 野兔 、 狐狸 、 猫 和 狼 在 国王 的 所有 土地 上 的 追逐 ， 包括 野兔 、 雉鸡 和 鹧鸪 的 整个 沃伦 。 土地 ， 包括 两个 铜板 ， 其中 一个 位于 国王 的 索姆伯恩 和 斯托克布里奇 之间 ， 另一个 被 称为 木头 。,沃伦,野兔,13,55,48
1424,该 方法 包括 形成 具有 低 熔点 表面 层 的 两层 半成品 ， 并 将 其 与 浸渍 相结合,方法,形成,3,1,3
1425,欧洲 监察员 尼基福罗斯·迪亚曼多罗斯 （ p nikiforos diamandouros ） 要求 欧盟委员会 纠正 苏格兰西部 渔业 配额 方面 的 行政 错误 。,错误,配额,18,17,13
1426,外交 部长 参加 了 联合国 发展 筹资 问题 高 级别 会议,部长,会议,18,1,10
1427,本文 描述 的 研究 调查 了 两个 关于 宽恕 的 问题,研究,问题,18,3,10
1428,科学家 已 将 人类 细胞 注入 实验 动物 体内,细胞,动物,6,4,7
1429,其他 几项 研究 调查 了 资金 来源 与 研究 结果 之间 的 关系 。,关系,研究,18,12,8
1430,当 家人 有 时间 准备 和 道别 时 ， 猝死 带来 的 悲伤 与 预期 的 死亡 完全 不同,悲伤,死亡,1,12,16
1431,这本书 由 诗人 的 女儿 编纂 ， 包括 作家 、 诗人 、 翻译家 、 评论家 、 演员 和 戏剧 导演 的 回忆录 。,这本书,诗人,18,0,10
1432,schoniger 在 充满 氧气 的 烧瓶 中 燃烧 有机 化合物 的 技术 是 众所周知 的 。,燃烧,烧瓶,18,7,5
1433,有 一种 叫 乔拉 的 玉米 酿制 的 安第斯奇卡 啤酒 。,啤酒,玉米,8,9,5
1434,由 冲刷 和 荆棘 造成 的 伤口 几乎 看不见 。,伤口,荆棘,1,6,3
1435,myoats 是 一个 人们 使用 在线 绘图 应用程序 创建 设计 的 社区 。,人们,设计,17,3,9
1436,这 场 战争 是 由 希特勒 、 墨索里尼 和 日本 帝国主义 的 扩张主义 欲望 引起 的 。,战争,欲望,1,2,13
1437,该 项目 包括 几个 阶段 ， 包括 19英里 的 公路 扩建,项目,阶段,3,1,4
1438,美好生活 是 50年代 参加 派对 的 同性恋者 的 亚文化 。,亚文化,同性恋者,13,8,6
1439,一个 美丽 的 年轻 女孩 正 进入 幸福 的 恍惚 状态,女孩,恍惚,18,4,9
1440,在 右边 的 示意 图 中 ， 由 转子 线圈 形成 的 电磁铁 被 表示 为 一个 永久 磁铁 ， 相同 的 力矩 （ 北 吸引 南 ） 被 认为 是 作用 于 对 中 磁铁 的 力矩,线圈,转子,2,9,8
1441,他们 把 严重 的 犯罪行为 出口 到 以前 幸福 的 社区,犯罪行为,社区,6,4,10
1442,背景 是 一个 城市 的 描绘 ， 天使 沿着 一条 通向 它 的 道路,背景,城市,18,0,3
1443,第二个 星期一 ， 他 的 老板们 对 他 印象 深刻 ， 给 了 他 一份 设计 办公室 的 绘图员 的 工作 。,设计,办公室,16,15,16
1444,经济 崩溃 是 由 消费者 购买 他们 买 不 起 的 抵押贷款 和 住房 崩溃 引起 的,崩溃,消费者,1,1,4
1445,蜥蜴 伸出 舌头,蜥蜴,舌头,3,0,2
1446,DTAP 后 发生 的 抽搐 通常 不是 由 疫苗 直接 引起 的 ， 而是 由 疫苗 引发 的 发烧 引起 的 。,发烧,疫苗,1,18,15
1447,鸟类 的 洞穴 通常 在 松软 的 土壤 中 形成 一些 企鹅 和 其他 远洋海鸟 以 这种 洞穴 而 闻名 。,洞穴,鸟类,16,2,0
1448,这 是 一本 杂志式 的 期刊 ， 出版 所有 科学 学科 的 长篇 研究 论文 。,杂志式,论文,3,3,14
1449,我们 建议 把 鸟 放在 一个 容器 里 ， 不要 让 它 在 你 的 房子 或 汽车 里 散开,鸟,容器,4,3,6
1450,一根 导管 通过 同 一个 胃造瘘道 置入 胃 内 。,导管,胃,6,1,7
1451,分析 样品 制备 单元 使用 荧光 染料 处理 样品,单元,染料,11,3,6
1452,在 这本书 中 ， 这位 北卡罗来纳大学教堂山分校 的 毕业生 解释 了 星巴克 是 如何 通过 让 顾客 感受到 环保 意识 、 向上 移动 、 连接 和 凉爽 而 成为 华尔街 的 最爱 。,这本书,毕业生,16,1,7
1453,切伦科夫锥的张开角以 0.2 的 分辨率 测量 速度,切伦科夫锥的张开角以,分辨率,18,0,3
1454,草坪 上 的 土堆 是 蚯蚓 在 草皮 上 几英寸处 活动 造成 的 。,土堆,蚯蚓,16,3,5
1455,许多 考古学家 在 解决 这个 金字塔 的 秘密 时 掉进 了 陷阱 。,考古学家,陷阱,6,1,11
1456,这 是 一本 2004年 的 书 ， 批评 诺姆·乔姆斯基 的 政治 和 语言 著作 。,书,著作,14,5,13
1457,挣扎 的 青蛙 结 在 池塘 表面 的 同 一个 地方 仍 在 翻腾,结,青蛙,13,3,2
1458,利用 坡道 和 平台 进行 地面 外 车辆 清洗 ， 用 过 的 水 收集 在 平台 下方 的 容器 中,水,容器,6,13,19
1459,在 你 4月26日 的 杂志 上 ， 一张照片 显示 一位 女 医生 带 着 预防性 的 防毒面具 在 照顾 一位 病人,医生,防毒面具,11,11,16
1460,这些 民谣 专门 讽刺 那些 鼓励 爱尔兰 人 参加 外国 战争 的 政治家 和 权威 人物 。,民谣,政治家,14,1,12
1461,该 指令 适用于 基于 性别 重新 分配 的 歧视 以及 仅 基于 性别 的 歧视,指令,歧视,14,1,14
1462,这个 网站 给 你 详细 的 地图 和 轨迹 ， 特别 是 在 肯特,网站,地图,3,1,6
1463,然后 ， 我们 把 面包片 放 进 耐热 的 烤盘 里,面包片,烤盘,6,4,9
1464,苹果 离开 了 苹果树,苹果,苹果树,8,0,3
1465,本发明 涉及 一种 生产 电池 电极 的 方法 、 由 该 方法 生产 的 电极 以及 含有 该 电极 的 电池,电极,方法,18,5,11
1466,最好 的 奶酪 使用 动物 自然 产生 的 凝乳酶 和 来自 附近 农场 的 未经 消毒 的 牛奶 ， 其 细菌 和 营养 成分 完好 无损,凝乳酶,动物,16,8,4
1467,1890年 ， 贵族 组织 并 成立 了 一个 体育 组织 ， 法国体育运动协会 （ USFSA ）,贵族,组织,17,2,9
1468,以 玉米淀粉 为 原料 ， plantic 的 塑料 也 具有 成本 竞争力 。,玉米淀粉,玉米淀粉,9,1,1
1469,鸟 要 花 很多 时间 来 照料 它们 的 羽毛,鸟,羽毛,3,0,9
1470,以下 活动 涉及 调查 小组 社区 中 可用 的 儿童 健康 资源,活动,资源,18,1,11
1471,这位 以 发明 钟表 收音机 而 闻名 的 资深 发明家 正 计划 将 他 的 孵化器 公司 在 证券交易所 上市 。,发明家,收音机,17,9,4
1472,一个 选择 会使 你 在 书 中 任何 一个 给定 的 位置 前进 多少 页,选择,书,18,1,5
1473,大 规格 的 餐具 由 抛光 不锈钢 制成 ， 重量轻 ， 平衡性 好 。,餐具,不锈钢,9,3,6
1474,形容词 capitolinus 当然 是 从 名词 派生 出来 的 。,形容词,名词,8,0,5
1475,生产商 和 消费者 之间 需要 达成协议 ， 确定 包括 可可 、 咖啡 、 糖 和 热带 木材 在内 的 商品 的 公平 价格 。,商品,可可,13,19,9
1476,他们 和 那些 在 手术 中 从 身体 里 出来 的 人 谈 过 ， 他们 是 在 一次 事故 后 从 身体 里 出来 的,人,身体,8,11,22
1477,在 门诺派遗产村 的 一个 农场 里 ， 公牛 正在 谷仓 边 的 干草 围栏 里 吃 草 。,谷仓,农场,2,9,4
1478,在 50年代 ， 当 战后 一代人 过 着 放任 自流 的 生活 时 ， 一个 由 披头士 和 音乐家 组成 的 亚文化正 忙于 调皮 、 无礼 、 冲动 、 醉酒 和 性 痴迷 ， 打破 了 伴随 着 艾克 和 婴儿 潮 而来 的 社会 风气 。,亚文化正,披头士,13,21,16
1479,实验室 在 磁铁 及其 锚 的 生产 过程 中 犯 了 一些 基本 的 错误 ， 一旦 系统 投入 运行 ， 这些 错误 就会 使 它们 变得 不 安全 。,实验室,磁铁,17,0,2
1480,与 现代 隧道 不同 ， 兄弟俩 把 扇子 放在 隧道 的 入口处,入口处,隧道,2,11,9
1481,在 腿部 或 手臂 静脉 中 插入 新 的 试验 注射,注射,静脉,6,10,4
1482,上瘾 和 贫穷 导致 忽视 和 虐待,上瘾,忽视,0,0,4
1483,在 她 前面 ， 年轻 女子 又 停 了 下来 ， 靠 在 桥上 沉重 的 铁 栏杆 上 。,栏杆,桥上,2,17,13
1484,在 医学 鬼子 写作 中 ， 制药 公司 支付 专业 作家 的 费 用来 撰写 论文 ， 然后 支付 其他 科学家 或 理疗师 的 费用 ， 在 这些 论文 发表 在 医学 或 科学 期刊 上 之 前 ， 将 他们 的 名字 附 在 论文 上 。,作家,论文,17,10,45
1485,那位 名人 来 参加 聚会,名人,聚会,18,1,4
1486,他 的 故事 从 近期 的 预测 到 遥远 的 未来 ， 还有 遥远 的 太空 即兴 表演 。,故事,未来,18,2,10
1487,我 迅速 扫 了 一眼 四周 ， 看看 拖车组 是否 在 附近 ， 然后 吻 了 吻 驾驶舱 的 边缘 。,边缘,驾驶舱,2,19,17
1488,旅游业 正 陷入 更 深 的 贫困,旅游业,贫困,18,0,6
1489,它 被 另一只 鸡 推 到 路上 ， 而 那 只 鸡 离开 了 路,鸡,路,8,3,14
1490,从 六号 亭 下 花园 的 野花 中 可以 看到,花园,花园,2,4,4
1491,最后 一天 ， 在 雅典 最古老 的 地方 普拉卡 的 一家 小店 里 ， 我 买 了 一枚 银 戒指 ， 上面 刻 着 雅典娜 的 肖像 。,银,戒指,18,18,19
1492,此外 ， 总统 在 超级 代表 的 帮助 下 赢得 了 民主党 的 提名,总统,帮助,18,2,7
1493,在 其 鼎盛时期 ， 威士忌 叛乱 牵涉 到 成千上万 的 宾夕法尼亚 农民 被 征收 黑麦酒 税 ， 黑麦酒 是 他们 的 主要 出口 产品 。,黑麦酒,黑麦酒,9,14,17
1494,首先 ， h5n1病毒 造成 了 迄今为止 数量 最多 的 人类 非常 严重 的 疾病 病例 和 数量 最多 的 死亡 病例 。,h5n1病毒,h5n1病毒,0,2,2
1495,科索沃 宣布 独立 的 合法性 问题 目前 正 由 国际法院 讨论,问题,讨论,15,5,10
1496,正常 成人 尿量 1350ml,尿量,成人,16,2,1
1497,这 架 飞机 抵达 墨尔本国际机场,飞机,墨尔本国际机场,6,2,4
1498,我 把手 放在 剑柄 上等 着 你 的 信号 杀 了 他,剑柄,剑柄,2,3,3
1499,工厂 的 另一个 产品 是 斯堪的纳维亚 挂锁 （ Polhem locks ， 瑞典 Polhemslas ）,工厂,挂锁,17,0,6
1500,暗杀 导致 政府 、 安全 和 犯罪分子 被 广泛 逮捕,暗杀,逮捕,0,0,9
1501,珍珠 既 贵 又 稀有 ， 许多 女性 宁愿 买 一个 大 一点 的 南海 珍珠 挂件 ， 也 不愿 选择 一根 珍珠绳 。,珍珠绳,珍珠,3,22,15
1502,开篇 段落 清楚 而 简洁 地 界定 了 文章 的 目的 ， 让 读者 能够 预测 接下来 的 内容 ， 并 为 文章 确立 一个 清晰 的 主题 。,段落,目的,14,1,10
1503,我 花 53英镑 从一 家 猎杀 连锁店 Bass Pro 商店 买 了 一枚 银 戒指,银,戒指,18,13,14
1504,基思·默里 的 名字 对 我 来说 毫无意义 ， 直到 一个 要 去 美国 的 朋友 给 了 我 一些 陶器 。,陶器,朋友,8,19,14
1505,飞机 坠毁 ， 降落 在 一个 墓地 ， 17名 儿童 丧生,飞机,墓地,6,0,6
1506,他 的 肖像 出现 在 国家 美术馆 的 数不清 的 绘画 作品 中 ， 有时 他 母亲 在 其中 扮演 配角 。,肖像,绘画,15,2,10
1507,奥巴马 的 经济 政策 正在 变成 一场 全球性 的 灾难,政策,灾难,0,3,9
1508,她 死亡 时 的 沙漠 温度 是 110度 ， 但 发现 了 一个 装有 水 的 瓶子 和 她 的 尸体 在一起 ， 这 让 人 怀疑 脱水 是 死因,瓶子,水,5,16,14
1509,我 找到 一个 手 慢 的 情人,情人,手,3,6,3
1510,亚西尔·阿拉法特 环游 世界 时 ， 习惯于 带 着 装 满 现金 的 手提箱 来 处理 紧急 情况 。,手提箱,现金,5,12,10
1511,鸡蛋 被 推入 瓶子 里,鸡蛋,瓶子,6,0,3
1512,我 有 足够 的 胶合板 从 以前 的 工作 留下来 建造 这个 箱子 ， 还有 一个 尼龙 牵引带 存放 在 卡车 的 座位 后面,座位,卡车,2,22,20
1513,这 架 飞机 星期六 从 佛罗里达州 杜瓦尔县 的 一个 机场 起飞 。,飞机,机场,8,2,9
1514,哈利·洛珀 提供 了 警长 用来 救 那 两个人 脱离 危险 的 汽车 。,汽车,警长,10,11,3
1515,雕刻 的 仆人 用 勺子 除去 脂肪,仆人,勺子,11,2,4
1516,最 重要 的 是 ， 这些 区域 大胆 活动 的 增加 与 参与者 用来 表达 自己 决定 的 运动 系统 无关,系统,参与者,10,19,12
1517,最后 ， 这座城市 剩下 的 地方 离海 有 几英里 远 ， 许多 居民 离开 沼泽 低地 ， 住在 周围 的 山上 。,几英里,离海,18,8,6
1518,本网站 致力于 提供 高质量 的 上瘾 相关 信息 和 药物 及 酒精 治疗 计划 列表 。,上瘾,信息,15,5,7
1519,近年 来 ， 阿片类 药物 在 治疗 癌症 疼痛 方面 取得 了 许多 进展 。,阿片类,疼痛,18,3,8
1520,头晕 是 由 鞭打 和 头部 损伤 引起 的 。,头晕,损伤,1,0,6
1521,五个 邻居 用 吹雪机 清理 前面 的 道路 ， 而 其他 邻居 则 用 雪 铲 在 救护车 周围 挖出 雪 。,邻居,雪,18,1,20
1522,我们 的 祖先 把 知识 传 给 了 后代,知识,后代,18,4,8
1523,在 谢尔比县 上空 从 飞机 上 救出 的 飞行员 资金 经理 在 信 中 说,经理,飞机,8,10,4
1524,该 诉讼 指控 myspace 的 slideshow 和 facebook 的 superwall 等 应用程序 的 制造商 将 未 加密 的 客户 数据 提供 给 能力 最低 的 黑客 。,制造商,应用程序,17,13,11
1525,昆虫 的 翅膀 很 薄 ， 所以 可怜 的 昆虫 必须 很快 地 拍打 （ 或 拍打 ） 翅膀 ， 这样 它们 才能 真正 起飞 飞行,昆虫,翅膀,3,0,18
1526,是 提供 机动车 所有权 证明 的 官方 文件,文件,证明,14,7,4
1527,其次 ， 音板 对键盘 下 的 音色 贡献 更大 ， 因为 它 不易 被 钢琴 的 框架 和 锤子 机制 所 掩盖 。,钢琴,框架,3,14,16
1528,一个男人 把 他 的 小 女儿 放在 微波炉 里 时 有 精神病 发作,女儿,微波炉,6,5,7
1529,医生 在 处方 中 加入 了 温室气体 缓解 措施 。,缓解,处方,6,7,2
1530,收到 的 邮件 被 发送 到 队列 服务器,邮件,服务器,6,2,7
1531,一个 新兴 的 类别 是 播客 （ podcasting ） ， 用户 可以 在 便携式 mp3 播放器 上 生成 广泛 下载 的 内容 。,用户,内容,17,10,21
1532,疼痛 从 收缩处 放射 到 臀部 和 背部 ， 然后 从 双腿 一直 延伸 到 脚趾,疼痛,收缩处,1,0,2
1533,农民 用 欧洲人 只 从 博物馆 知道 的 工具 耕种 田地,农民,工具,11,0,8
1534,耳垫 系统 的 头 戴 电话机 具有 一个 头部 带 ， 该 头带 形成 在 用户 的 头部 顶部 上 的 近似U形 。,头,系统,2,3,1
1535,许多 日本公司 为了 廉价 劳动力 而 进入 发展 中 国家,日本公司,国家,6,1,9
1536,她 把 面团 做成 一个 圆 面包 ， 然后 把 面团 放在 一个 抹 了 油 的 9英寸 的 金属 馅饼 锅 里 。,面团,馅饼,6,2,20
1537,有些 鱼 在 稻田 里 繁殖 ， 而 另 一些 鱼 则 通过 潮汐 作用 进入 稻田 。,鱼,潮汐,18,1,13
1538,真正 的 牧羊人 用 投石机,牧羊人,投石机,11,2,4
1539,在 印地语 电影 中 ， 有 无数次 ， 新娘 在 结婚 的 那天 逃离 了 费拉斯 。,新娘,费拉斯,8,8,15
1540,当 黑色 的 小火车 从一 个 车站 开到 另一个 车站 时 ， 司机 扎克 接送 了 越来 越多 愚蠢 的 乘客 。,小火车,车站,8,3,9
1541,一名 律师 和 他 的 两个儿子 是 检察官 ， 在 大约 50名 暴徒 的 陪同 下 袭击 了 埃及拉希德一座 历史 悠久 的 罗马东 正 教 教堂 。,暴徒,暴徒,13,12,12
1542,调查 仅 限于 调查 海洋 安全 问题 。,调查,安全,14,0,5
1543,案发 当晚 的 争吵 是 由 金钱 引起 的,争吵,金钱,1,3,6
1544,加州 圣克拉拉市 的 陈士刚 （ shigang chen ） 和 魏利曼 （ liman wei ） 以及 加州 库比蒂诺市 的 巴特查里亚 （ partha bhattacharya ） 已经 开发 了 一种 从 数据 结构 列表 中 删除 冗余 的 方法 。,列表,数据,13,30,28
1545,鼻窦炎 是 由 细菌感染 引起 的 鼻窦炎 。,鼻窦炎,细菌感染,1,0,3
1546,另 一名 工人 在 墙上 用 一块 长直边 木板 遮住 ， 以 消除 任何 凸起,工人,木板,11,2,8
1547,由于 气压 的 关系 ， 物体 沉入 了 沙中,物体,沙中,6,5,8
1548,左边 的 罐子 有 黑莓果冻 ， 中间 的 罐子 很好吃 ， 右边 的 罐子 是 蓝莓果酱,黑莓果冻,黑莓果冻,9,4,4
1549,当 显示 每张 卡片 的 正面 时 ， 主题 标识 与 卡片 相 关联 的 名称,主题,卡片,18,8,11
1550,在 1923年 东京 余震 的 大火 中 ， 许多 银杏树 幸存 下来 ， 而 其他 的 树 却 死 了 。,大火,余震,1,5,3
1551,解放 后 保加利亚建设者昴宿星团 中 有 两位 重要 人物 ， 他们 的 国家 政治 观点 和 活动 是 截然相反 的 。,保加利亚建设者昴宿星团,保加利亚建设者昴宿星团,13,2,2
1552,在 已知 的 往复式 密封电动机压缩机 中 ， 制冷剂 气体 从 外壳 中 蒸发 出来,气体,外壳,8,8,10
1553,结果 是 在 烧瓶 中 测量 细胞 质量 后 得到 的,细胞,烧瓶,4,6,3
1554,近 三分之二 的 入室 盗窃 涉及 强行 进入 ， 部分 原因 是 脆弱 的 门锁 和 安装 的 五金件 。,门锁,门锁,3,14,14
1555,这 则 寓言 叙述 了 史前 和 历史 之间 的 一种 差异 ， 这种 差异 是 分界线 两边 的 人 无法 理解 的 。,寓言,差异,14,2,14
1556,一 对 夫妇 在 阿拉斯加 的 一张 美轮美奂 的 床上 喝 杯 咖啡 放松 身心 。,夫妇,咖啡,11,2,12
1557,减震器 的 杆 穿过 主杆 ， 所以 你 需要 一个 顶部 有 孔 的 螺母 （ 图 中 110 部分 ）,杆,减震器,2,2,0
1558,我 选择 了 最 简单 的 选项 ， 将 文件 复制 并 存储 在 一个 特定 的 文件夹 中 ， 然后 在那里 使用 它们,文件夹,文件夹,6,17,17
1559,由于 不 可能 经常 参加 在 王国 各地 举行 的 集会 ， 很快 就 雇用 了 一些 非专业 的 演讲者 ， 而 这些 演讲者 又 逐渐 取代 了 一个 既定 的 巡回 传教士 的 秩序 ， 后来 这些 传教士 又 被 安排 在 一个 有限 的 时期 内 ， 由 主教 监督 。,秩序,传教士,13,34,38
1560,在 人类 中 ， 小脑 仅 占 大脑 总 体积 的 十分之一 ， 但 其 50% 以上 的 神经元 位于 大脑 结构 中 。,小脑,小脑,2,4,4
1561,克伦达尔农场 的 农舍 建于 1800年 ， 是 一座 国家 纪念碑 。,农舍,克伦达尔农场,2,2,0
1562,在 爪哇 最近 的 一系列 暴乱 之后 ， 暴力 文化 已经 成为 人们 讨论 的 话题 。,文化,讨论,15,9,13
1563,为了 收集 实验 数据 ， 研究 人员 明确 定义 了 一个 描述 过程 的 模型,模型,过程,18,14,12
1564,虚线 是 指 实验 和 模拟 数据,虚线,数据,18,0,6
1565,最近 关于 传统 针织 的 书 中 有 关于 三曲哈尔针织 的 资料 。,书,针织,14,5,3
1566,海盗船 的 遗骸 被 重新 埋葬 在 一个 铝制 棺材 里 ， 棺材 放在 一个 重达 5吨 的 石棺 里 。,棺材,石棺,4,9,18
1567,这 座 教堂 是 一座 令人 惊叹 的 洋葱形 圆顶 ， 金丝 ， 是 俄罗斯 贵族 （ 1903年 至 1912年 ） 建造 的 一座 建筑 的 瑰宝 。,教堂,贵族,16,2,15
1568,但 特别 是 海洛因 依赖者 中 ， 经常 出现 非常 严重 的 抑郁 ， 抑郁 是 自杀 的 主要 原因 之 一 。,抑郁,自杀,0,12,16
1569,最近 的 第二个 重大 体制 发展 是 建立 了 一个 由 基本 权利 问题 独立 专家 组成 的 欧盟 网络,网络,专家,13,19,15
1570,你 方 产品 已 进入 我方 仓库 ， 并 已 要求 你 方 在 交货 日期 内 预订,产品,仓库,6,2,6
1571,肝脏 产生 的 胆汁 被 收集 在 胆管 中 ， 胆管 合并 形成 胆管 。,胆汁,肝脏,16,3,0
1572,面包师 把 酒精 放 进 黑 巧克力 球 里,酒精,巧克力,6,2,6
1573,我们 已 将 成功 的 调查 纳入 报告 ， 显示 了 次要 的 意义,调查,报告,6,5,7
1574,有人 观察 到 大象 挖洞 喝水 ， 然后 从 树上 撕下 树皮 ， 咀嚼 成 球状 ， 把 洞 填满 ， 用 沙子 覆盖 ， 以 避免 蒸发 。,大象,洞,17,3,18
1575,司机 被 从 他 的 小汽车 里 赶 了 出来,司机,小汽车,8,0,5
1576,一个 国家 是 一群人,国家,一群人,13,1,3
1577,飞机 匠 的 游戏 在 商店 另一边 的 一个 箱子 里,游戏,箱子,4,3,9
1578,立体 切割 头 有 两个 线圈 在 磁场 中 运动,头,线圈,3,2,5
1579,最后一个 角色 是 杰出 的 科学家 、 发明家 和 技术 怪人 。,科学家,发明家,18,5,7
1580,例如 ， 麻疹 和 水痘 会引起 皮疹 和 其他 症状,麻疹,皮疹,0,2,6
1581,一些 动物 病毒 已经 迁移 到 人类 体内,病毒,人类,6,2,6
1582,游戏 的 仲裁者 开始 游戏 并 要求 第一个 玩家 移动,仲裁者,游戏,18,2,4
1583,吹风机 在 书桌 抽屉 里,吹风机,书桌,4,0,2
1584,此外 ， 还有 以 美国 为 灵感 的 黑色 壁画 ， 从 黑帮 电影 中 复制 城市 场景 ， 描绘 黑帮 说唱 英雄 。,场景,电影,8,17,13
1585,一位 意大利 工匠 在 一根 大头针 上 创造 了 世界上 最小 的 圣诞 场景 。,工匠,场景,17,2,13
1586,此 错误 消息 表示 发生 了 错误,消息,错误,14,2,6
1587,这 一 神秘 的 象征 是 挂 在 船 桅杆 上 的 帆 ， 仿佛 它 是 基督 在 十字架 上升 起 的 。,桅杆,船,2,9,8
1588,TM 程序 源自 一个 古老 的 印度 传统,程序,传统,8,1,7
1589,松鼠 把 橡子 塞进 他 的 脸颊 ， 直到 它们 像 两个 毛茸茸 的 气球 一样 膨胀 起来 。,橡子,脸颊,6,2,6
1590,金凯文 对 一世纪 一位 古代 朝鲜 弓箭手 的 到来 感到 惊讶,弓箭手,一世纪,8,6,2
1591,两年 过去 了 ， 我 才 再次 见到 野山羊 ， 尽管 我 经常 到 这 一 地区 实地 考察 ， 而且 一个 知道 峡谷 迷宫 中 每个 弯道 的 NCWCD 护林员 也 为 我 服务 。,迷宫,峡谷,18,24,23
1592,火车 离开 车站 时 ， 一场 凉爽 的 春雨 打 在 窗户 上 。,火车,车站,8,0,2
1593,她 靠 在 卡车 的 轮子 上 看 了 一会儿 。,轮子,卡车,2,5,3
1594,温暖 从 壁炉 辐射 到 房间 的 各 个 角落 。,温暖,壁炉,1,0,2
1595,政府 利用 独立 电视台 欠 主要 天然气 公司 gazprom 的 债务 ， 策划 了 一场 政府 友好 势力 的 收购 。,政府,债务,11,0,10
1596,他 把 从 烤箱 里 拿出来 的 水 全 倒 了 ， 然后 去 了 男孩 那儿 。,水,烤箱,8,7,3
1597,炸弹 被 送到 了 未 料到 的 受害者 手中,炸弹,受害者,6,0,7
1598,这些 菜谱 选自 各种 餐厅 厨师 、 杂志 和 维克多·安托万·达维拉·拉图雷特 兄弟 ， 一位 和尚 和 烹饪 书 作者 。,和尚,作者,18,13,17
1599,巨额 工资 的 管理 ， 已经 从 沉船 上 退休 或 保释 出来 ， 让 群众 忍受 无知 和 管理 失误 带来 的 困苦,管理,沉船,8,3,7
1600,离婚 带来 的 悲伤 意味着 更多 ， 如果 你 知道 她 嫁给 了 编舞 迈克尔·班尼特 （ michael bennett ） ， 她 塑造 了 她 的 职业生涯 ， 然后 在 1975年 创造 了 合唱 台词 角色 。,悲伤,离婚,1,3,0
1601,非淋菌性尿道炎 是 由 淋病 以外 的 病原体 （ 细菌 ） 引起 的 尿道 感染 。,感染,病原体,1,13,6
1602,警察 把 他 打 了 一顿 ， 把 水 灌 进 他 的 耳朵 和 鼻子 ， 还 把 一只 鞋 塞 进 了 他 的 嘴里,水,耳朵,6,8,13
1603,他们 与 理查德·瓦格纳 有着 共同 的 爱 ， 并且 是 一年一度 的 拜鲁思 音乐节 的 常客 ， 庆祝 这位 作曲家 的 作品 。,作曲家,作品,17,19,21
1604,所有 主要 供应商 都是 丰田供应商协会 的 一部分,供应商,丰田供应商协会,12,2,4
1605,黑猩猩 首先 从 马兰科 植物 上 摘下 一些 茎 ， 然后 把 叶子 摘 下来 做成 棒状 。,黑猩猩,棒状,17,0,16
1606,许多 其他 的 参考文献 来自 世界 各地 的 学者,参考文献,学者,16,3,8
1607,和 大多数 美国 家庭 一样 ， 我 从小 就 养成 了 不良 的 饮食 习惯 ， 我 仍然 记得 有一次 我 被 人 给 了 一瓶 苏打水,一瓶,苏打水,5,25,26
1608,有趣 的 问题 是 燕麦片 在 碗 里 ， 牛奶 在 杯子 里 。,牛奶,杯子,4,9,11
1609,五个 孩子 的 妈妈 用 能干 的 态度 成功 了,妈妈,态度,18,3,7
1610,医生 用 酒精 消毒 后 注射 溶液,医生,酒精,11,0,2
1611,这 或多或少 就是 这本书 的 作者 是 如何 看待 这种 情况 的,这本书,作者,16,3,5
1612,第一本 书 论述 了 文化大革命 对 一个 受过 高等教育 的 文学 知识 分子 家庭 的 悲惨 影响 。,书,影响,14,1,16
1613,这家 工厂 的 主要 产品 是 白砂糖 ， 以 可口可乐 为 最大 的 客户 之 一 而 进入 工业界 。,工厂,白砂糖,17,1,6
1614,在 发动机 运转 时 ， 在 碳水 化合物 入口 增加 一个 速度 堆栈 有助于 阻止 一些 燃油 从 碳水 化合物 中 喷出,速度,堆栈,18,11,12
1615,他 的 新 研究 表明 ， 森林 里 的 树干 就像 热水瓶,树干,森林,18,9,6
1616,工会 合同 规定 工资 和 工时 ， 有效期 为 三年 。,合同,工资,14,1,3
1617,这个 双重谎言 暴露 了 伪君子团结罪犯 联盟 的 真正 意义 。,联盟,伪君子团结罪犯,13,5,4
1618,那 人 把 水 倒进 种子 里,水,种子,6,3,5
1619,头痛 有很多 类型 和 原因 ， 从 压力 引起 的 紧张性 头痛 到 某些 食物 引发 的 偏头痛,紧张性,头痛,0,10,11
1620,树根 被 离开 管道 的 水蒸气 所 吸引 ， 它们 沿着 蒸汽 路径 到达 水分 的 来源 ， 通常 是 下水道 管道 中 的 裂缝 或 松动 的 接头,下水道,管道,3,20,21
